code,label_id,label,definition_id,definition
age_5yr_int,,Age,,Age groups
marital_status,,Marital status,,Married vs unmarried
residence,,Residence,,Urban vs rural
wealth_quintile,,Wealth quintile,,"Rank, split into five groups of equal sizes"
wealth_tertile,,Wealth tertile,,"Rank, split into three groups of equal sizes"
region_gh,,Region,,The regions of Ghana
facility_type_gh,,Facility type,,The types of SDPs in Ghana
methods_all,,Method type (all methods),,Modern and traditional methods
methods_all_non,,Method type (including non-users),,Modern and traditional methods and non-users
