label_id,label,order,subregion,region,code
,Ghana,10,Western Africa,Africa,GH
,Nigeria,50,Western Africa,Africa,NG
,Kenya,60,Eastern Africa,Africa,KE
,Uganda,70,Eastern Africa,Africa,UG
,Democratic Republic of the Congo,30,Central Africa,Africa,CD
,India,100,Southern Asia,Asia,IN
,Indonesia,90,Southeast Asia,Asia,ID
,Ethiopia,80,Eastern Africa,Africa,ET
,Niger,40,Western Africa,Africa,NE
,Burkina Faso,20,Western Africa,Africa,BF
